# Galactic Coordinates: l = 60.0, b = 0.0
# RA: 19h43m54.33s, Dec: +23d53m25.353s
# Julian Date: 2456032.79241, LST: 19.4828
# LSR Correction: -39.6395 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.156960000000000000e+05 1.424400000000000091e+03 1.263340000000000000e+05 1.415430000000000000e+05
1.414401465022585853e+03 1.156960000000000000e+05 1.424401465022585853e+03 1.263340000000000000e+05 1.415430000000000000e+05
1.414402930045171615e+03 8.460600000000000000e+04 1.424402930045171615e+03 9.447200000000000000e+04 1.105440000000000000e+05
1.414404395067757378e+03 8.405100000000000000e+04 1.424404395067757378e+03 9.379000000000000000e+04 1.087070000000000000e+05
1.414405860090343140e+03 8.387600000000000000e+04 1.424405860090343140e+03 9.383500000000000000e+04 1.089840000000000000e+05
1.414407325112928902e+03 8.452400000000000000e+04 1.424407325112928902e+03 9.293200000000000000e+04 1.095880000000000000e+05
1.414408790135514664e+03 8.317600000000000000e+04 1.424408790135514664e+03 9.287300000000000000e+04 1.093310000000000000e+05
1.414410255158100426e+03 8.250500000000000000e+04 1.424410255158100426e+03 9.298600000000000000e+04 1.092770000000000000e+05
1.414411720180686189e+03 8.271500000000000000e+04 1.424411720180686189e+03 9.281700000000000000e+04 1.092800000000000000e+05
1.414413185203271951e+03 8.259500000000000000e+04 1.424413185203271951e+03 9.345100000000000000e+04 1.085720000000000000e+05
1.414414650225857713e+03 8.263700000000000000e+04 1.424414650225857713e+03 9.275900000000000000e+04 1.091390000000000000e+05
1.414416115248443475e+03 8.268900000000000000e+04 1.424416115248443475e+03 9.215600000000000000e+04 1.082950000000000000e+05
1.414417580271029237e+03 8.268900000000000000e+04 1.424417580271029237e+03 9.278100000000000000e+04 1.079830000000000000e+05
1.414419045293615000e+03 8.204000000000000000e+04 1.424419045293615000e+03 9.243700000000000000e+04 1.080900000000000000e+05
1.414420510316200762e+03 8.242200000000000000e+04 1.424420510316200762e+03 9.171600000000000000e+04 1.085180000000000000e+05
1.414421975338786524e+03 8.196500000000000000e+04 1.424421975338786524e+03 9.198000000000000000e+04 1.083400000000000000e+05
1.414423440361372286e+03 8.198400000000000000e+04 1.424423440361372286e+03 9.150700000000000000e+04 1.080370000000000000e+05
1.414424905383958048e+03 8.228300000000000000e+04 1.424424905383958048e+03 9.180800000000000000e+04 1.094970000000000000e+05
1.414426370406543811e+03 8.251300000000000000e+04 1.424426370406543811e+03 9.186900000000000000e+04 1.080420000000000000e+05
1.414427835429129573e+03 8.280300000000000000e+04 1.424427835429129573e+03 9.181700000000000000e+04 1.087090000000000000e+05
1.414429300451715335e+03 8.160000000000000000e+04 1.424429300451715335e+03 9.176200000000000000e+04 1.085450000000000000e+05
1.414430765474301097e+03 8.145600000000000000e+04 1.424430765474301097e+03 9.198100000000000000e+04 1.079000000000000000e+05
1.414432230496886859e+03 8.219700000000000000e+04 1.424432230496886859e+03 9.150400000000000000e+04 1.080920000000000000e+05
1.414433695519472622e+03 8.179300000000000000e+04 1.424433695519472622e+03 9.178700000000000000e+04 1.076820000000000000e+05
1.414435160542058384e+03 8.205700000000000000e+04 1.424435160542058384e+03 9.154000000000000000e+04 1.085840000000000000e+05
1.414436625564644146e+03 8.169700000000000000e+04 1.424436625564644146e+03 9.191200000000000000e+04 1.085500000000000000e+05
1.414438090587229908e+03 8.177600000000000000e+04 1.424438090587229908e+03 9.167500000000000000e+04 1.075910000000000000e+05
