# Galactic Coordinates: l = 8.0, b = 0.0
# RA: 18h03m33.9988s, Dec: -22d02m04.5957s
# Julian Date: 2456032.73985, LST: 18.218
# LSR Correction: -39.8188 km/s
#
OnFreq                   On                       OffFreq                  Off                      Cal
1.414400000000000091e+03 1.162800000000000000e+05 1.424400000000000091e+03 1.210590000000000000e+05 1.347670000000000000e+05
1.414401465022585853e+03 1.162800000000000000e+05 1.424401465022585853e+03 1.210590000000000000e+05 1.347670000000000000e+05
1.414402930045171615e+03 8.336300000000000000e+04 1.424402930045171615e+03 8.797700000000000000e+04 1.026120000000000000e+05
1.414404395067757378e+03 8.283500000000000000e+04 1.424404395067757378e+03 8.773600000000000000e+04 1.021340000000000000e+05
1.414405860090343140e+03 8.266200000000000000e+04 1.424405860090343140e+03 8.661200000000000000e+04 1.014610000000000000e+05
1.414407325112928902e+03 8.282900000000000000e+04 1.424407325112928902e+03 8.693200000000000000e+04 1.018010000000000000e+05
1.414408790135514664e+03 8.240800000000000000e+04 1.424408790135514664e+03 8.692500000000000000e+04 1.012120000000000000e+05
1.414410255158100426e+03 8.222900000000000000e+04 1.424410255158100426e+03 8.607000000000000000e+04 1.013900000000000000e+05
1.414411720180686189e+03 8.173700000000000000e+04 1.424411720180686189e+03 8.546900000000000000e+04 1.000430000000000000e+05
1.414413185203271951e+03 8.190900000000000000e+04 1.424413185203271951e+03 8.614200000000000000e+04 1.009890000000000000e+05
1.414414650225857713e+03 8.190700000000000000e+04 1.424414650225857713e+03 8.568100000000000000e+04 1.002820000000000000e+05
1.414416115248443475e+03 8.172800000000000000e+04 1.424416115248443475e+03 8.579700000000000000e+04 1.004600000000000000e+05
1.414417580271029237e+03 8.181900000000000000e+04 1.424417580271029237e+03 8.524300000000000000e+04 1.003690000000000000e+05
1.414419045293615000e+03 8.219300000000000000e+04 1.424419045293615000e+03 8.590800000000000000e+04 1.003680000000000000e+05
1.414420510316200762e+03 8.148500000000000000e+04 1.424420510316200762e+03 8.564600000000000000e+04 1.004710000000000000e+05
1.414421975338786524e+03 8.176500000000000000e+04 1.424421975338786524e+03 8.543800000000000000e+04 1.004520000000000000e+05
1.414423440361372286e+03 8.195300000000000000e+04 1.424423440361372286e+03 8.571700000000000000e+04 1.003340000000000000e+05
1.414424905383958048e+03 8.155400000000000000e+04 1.424424905383958048e+03 8.478600000000000000e+04 1.007040000000000000e+05
1.414426370406543811e+03 8.192600000000000000e+04 1.424426370406543811e+03 8.529600000000000000e+04 1.007380000000000000e+05
1.414427835429129573e+03 8.177900000000000000e+04 1.424427835429129573e+03 8.527500000000000000e+04 9.992900000000000000e+04
