# Local Standard of Rest Corrections
#
l  lsr_corr
04 -3.83829e+01
06 -3.91247e+01
08 -3.98188e+01
10 -4.04644e+01
12 -4.10607e+01
14 -4.16069e+01
16 -4.21025e+01
18 -4.25468e+01
20 -4.29392e+01
22 -4.32793e+01
24 -4.35667e+01
26 -4.38010e+01
28 -4.39820e+01
30 -4.41093e+01
32 -4.41829e+01
34 -4.42027e+01
36 -4.41687e+01
38 -4.40808e+01
40 -4.39392e+01
42 -4.37441e+01
44 -4.34957e+01
46 -4.31943e+01
48 -4.28403e+01
50 -4.24340e+01
52 -4.19761e+01
54 -4.13547e+01
56 -4.09075e+01
58 -4.02981e+01
60 -3.96395e+01
62 -3.89327e+01
64 -3.81785e+01
66 -3.73777e+01
68 -3.65314e+01
70 -3.56406e+01
72 -3.47064e+01
74 -3.37298e+01
76 -3.27122e+01
78 -3.16548e+01
80 -3.05587e+01
82 -2.94255e+01
84 -2.82563e+01
86 -2.70528e+01
88 -2.58163e+01
90 -2.45483e+01
